Price,Open,High,Low,data
"56,506.10","43,824.40","57,814.00","43,292.90",10.21
"43,823.30","47,129.20","52,885.00","39,646.80",9.21
"47,130.40","41,510.00","50,498.00","37,365.40",8.21
"41,553.70","35,030.70","42,285.00","29,310.20",7.21
"35,026.90","37,294.30","41,318.00","28,901.80",6.21
"37,298.60","57,719.10","59,523.90","30,261.70",5.21
"57,720.30","58,763.20","64,778.00","47,098.50",4.21
"58,763.70","45,160.50","61,795.80","45,008.80",3.21
"45,164.00","33,106.80","58,335.10","32,324.90",2.21
"33,108.10","28,951.70","41,921.70","28,204.50",1.21
"28,949.40","19,697.80","29,298.80","17,600.10",12.20
"19,698.10","18,394.60","19,831.20","16,235.20",11.20
"13,797.30","10,776.60","14,065.40","10,387.60",10.20
"10,776.10","11,644.20","12,045.90","9,877.10",9.20
"11,644.20","11,333.20","12,444.10","10,730.70",8.20
"11,333.40","10,961.10","11,434.80","10,771.80",7.20
"9,135.40","9,454.50","10,301.80","8,865.30",6.20
"9,454.80","8,628.60","10,033.00","8,235.60",5.20
"8,629.00","6,412.40","9,437.50","6,157.40",4.20
"6,412.50","8,543.80","9,180.80","3,869.50",3.20
"8,543.70","9,349.30","10,482.60","8,543.70",2.20